beta0,beta1,beta2,chains
-3.622321527362588,0.0793655396826397,-0.06803840219919774,1
-3.7394534217733235,0.032178685330205965,-0.21714161909858803,1
-3.6599001626481042,0.0917910769650736,-0.2777333463724467,1
-3.3991908564622593,0.03412965595642013,-0.24670194258260542,1
-3.4791111655484666,-0.12013348066596456,-0.48411652850971176,1
-3.737521944307028,0.006338297535712342,-0.5573290347931597,1
-3.1778569841869966,-0.05608625604513538,-0.633545045274817,1
-2.872711999663886,-0.10633262176512655,-0.5883733838319104,1
-2.4109814424272704,-0.08479671424975364,-0.3093206179049477,1
-2.2221469405689023,-0.10375009752189569,-0.38486198619426926,1
-2.3331310410221806,-0.11292188468068862,-0.02532602911884485,1
-2.2633841909738344,-0.155530977400282,0.14924012404787004,1
-2.1097322928045865,-0.21777845193145878,-0.18549646192812522,1
-2.1442009679176963,-0.18378218684748476,-0.08484622848867962,1
-1.798636438366944,-0.17812463730576075,-0.23775400417135586,1
-1.1936865782202266,-0.2558633813508592,-0.34556713624330915,1
-1.2567764550395866,-0.2471193197426982,-0.29529200891995033,1
-1.5955966201641265,-0.19201658341139954,-0.33704856184871473,1
-1.309663513813947,-0.2449490187947287,0.08315537319237493,1
-1.609190703612661,-0.17825003734890799,0.003494699508346119,1
-1.5598251608483586,-0.18140885123852252,0.07320473878649623,1
-1.3543190184792284,-0.15988876969873106,-0.10016622217593114,1
-1.5215343662397283,-0.11259263835838285,-0.10805448676068274,1
-1.7141779030159954,-0.044327854978459424,-0.3797538372904709,1
-1.7388501814125532,-0.025292679471794685,-0.3760215542215952,1
-1.0193959783848952,-0.16543469835831992,-0.2939489752393274,1
-1.2747972818937063,-0.13154117755892714,-0.6490571989763387,1
-1.2512887800957986,-0.13131759484271763,-0.6615563136843178,1
-1.4442034349587143,-0.09846546623042751,-0.5805651854660571,1
-1.0049868338982566,-0.2221973886494999,-0.3157340756627552,1
-1.201463489011772,-0.18053076446700897,-0.22219771438717553,1
-0.7126321949476659,-0.31870874641257385,-0.5508527406504621,1
-1.216432776395737,-0.32832725839858157,-0.3990871354535581,1
-1.3958713886520995,-0.3249450085044869,-0.7103726214631216,1
-1.204924630204876,-0.39685766593599414,-0.6549577860721945,1
-1.4346972409840284,-0.3167946765612234,-0.6940008248276014,1
-1.636870529177388,-0.2646984703133281,-0.6579114412298293,1
-1.684463363134835,-0.20817898277958946,-0.867766731591004,1
-2.2013191031616888,-0.16491910998148288,-0.6498629275284884,1
-2.212962256037,-0.09770730750603951,-0.8115078006707439,1
-2.425655607878929,-0.12664531726848471,-0.7926260194217957,1
-2.3694363708023483,-0.1526733312675575,-0.7874585228298423,1
-2.458222309009214,-0.16445969965527313,-0.8133837891772383,1
-3.0297920145292907,-0.13490639737937432,-0.8536521463381234,1
-2.745920267945059,-0.0889348442287788,-0.8352924685184426,1
-2.837054772604916,-0.17062332708553207,-0.5685419778169358,1
-2.820445598539122,-0.1403044846447048,-0.6026142710762149,1
-3.4008333176302994,-0.02077062338587579,-0.36014559679045033,1
-2.8911801798261565,-0.10547494505969064,-0.6779289450956001,1
-2.8764376138288297,-0.21929742698534932,-0.4490598160727496,1
-2.80573650254713,-0.14885547815884104,-0.38384210721442497,1
-2.8433470666488128,-0.08764992590779089,-0.2622874173354713,1
-2.719542041877394,-0.23016131276889065,-0.41137081547975707,1
-2.508589180431989,-0.05854988929465679,-0.14738096718023996,1
-2.5614076961046943,-0.13845683224713745,-0.3148052291637847,1
-2.5349109763388347,-0.19324170897620752,-0.08473682866445087,1
-2.0231269840260335,-0.20711110986641756,-0.17708635630103825,1
-1.914416757858946,-0.2103453868843553,-0.42652272329450386,1
-1.8161749981869921,-0.3290468201238651,-0.48484277165682627,1
-1.1706223437907624,-0.53831732907552,-0.5159660431669238,1
-1.4510256554032164,-0.4128517142965722,-0.8335885486382795,1
-0.9249820618394156,-0.583127590527879,-0.9446539321339595,1
-0.8255166940144005,-0.7763044305355817,-1.2111798340402857,1
-0.3482860842301797,-0.9157335917912602,-0.7076393194051449,1
-0.708988606269537,-0.9157302363271203,-1.137781815988185,1
-0.8755531067030369,-0.9160320261605928,-0.9840253307363387,1
-0.5793352942055232,-1.0256408396458478,-0.9146718073231483,1
-0.4400419641671266,-1.0399901901033122,-1.00440834201345,1
-0.49929813463447126,-1.028910415383232,-0.857552857233028,1
-0.3489354952415174,-1.0565724060130353,-0.910813536264298,1
0.13951568146357873,-1.0173248652038045,-0.8159479592151634,1
-0.03314224780075786,-0.9021149563759026,-1.0852230854542602,1
0.1647155266629169,-1.0354629454130873,-0.5217507292812671,1
0.11323558101323261,-1.025365868953054,-0.5196915895516551,1
0.41358429223085985,-1.0085213858439765,-0.5951485770249129,1
0.04636225015114481,-0.9910079995031484,-0.4615552734210114,1
-0.25473149378272175,-0.9170587537912347,-0.32773682696692996,1
0.3737283304101495,-0.8641589335731474,-0.3784602991167868,1
0.3232748157295922,-0.8608758925594729,-0.5011000285609597,1
0.19089193553516987,-0.7112538862785063,-0.6334693290263496,1
0.10675856853716492,-0.7060493344752345,-0.6353875142799312,1
0.19785503839546698,-0.6723292977672869,-0.5553212463017907,1
-0.15050457647951787,-0.7398897948465715,-0.20318321866311911,1
-0.10738637098727552,-0.8015231299890343,-0.04315881175119973,1
0.2280921568148737,-0.8565027114012649,-0.2039138839374704,1
0.36480276727311106,-0.8932161861674592,0.04966686722127123,1
-0.02386401800658572,-0.7627143723914772,-0.19325367352618808,1
0.054274106669747635,-0.7484175364555992,-0.13885452101510257,1
0.1246564136248266,-0.7074836611906345,-0.6559335324404016,1
0.7702350862288875,-0.7891972738852098,-0.7511064551818938,1
1.0739196858349578,-0.8692567678777925,-1.0501937122247682,1
0.9079477164768067,-0.7964467742343149,-1.0422725458104645,1
1.0582668593258406,-0.7345292534118517,-0.9027089559834276,1
1.4798389340860079,-0.7762008755268104,-1.3055554247032646,1
0.8592521553878449,-0.7279312903127155,-1.1039319572352073,1
0.3673795084197833,-0.6211770133061979,-0.7359435290802558,1
0.0679919164717992,-0.4592891294447915,-1.0490381442101349,1
0.3662178999201208,-0.5174428961620313,-0.8353751416618911,1
0.17200713975892767,-0.5013503249761649,-0.7573941483877729,1
-0.022888340861766665,-0.4408717437657261,-0.40866531679917506,1
-0.2338343285187182,-0.4667083120251322,-0.08022442205447011,1
-0.5718011004202764,-0.33632319675784805,0.0965484560493024,1
-0.7951616493963354,-0.3011947100833351,0.19132927235630182,1
-1.038732262499532,-0.23538483542976907,0.3890613084411112,1
-1.0663523449076633,-0.22994133171862582,0.14087029328083017,1
-0.3441801173613922,-0.3365568736207545,-0.060830556737111935,1
-0.6212153921705559,-0.3181428422727592,-0.053258555958803605,1
-0.09964736734666169,-0.40806211668253145,0.23370210867133392,1
-0.10694687429440074,-0.3759090724000647,0.21130403244754306,1
-0.16266856431269183,-0.42531451336318987,0.09981491560205873,1
-0.4592365365144292,-0.33742967673537577,0.058514503436929356,1
-0.058650559448859774,-0.3844366827571569,0.21402591886704347,1
0.11469467828520588,-0.39801804161828164,0.07832014648618463,1
0.6081432696773185,-0.3982295784481902,-0.4448086711038121,1
0.9512071357892004,-0.43470060951222145,-0.3253092225552523,1
0.3058260591997539,-0.32367478263311766,-0.33413823077199506,1
0.908358370661145,-0.3923471011542048,-0.3369095349739455,1
0.8668203882873089,-0.3935409421789414,-0.5088950193968865,1
0.9388399999196537,-0.379317635848979,-0.6658833502552748,1
1.0291485279934631,-0.3973437673480958,-0.7125606634103969,1
1.2622972069587843,-0.41836032535225254,-0.5701059255818491,1
1.390927255024708,-0.4529067325329691,-0.4861171217044559,1
1.0836192200050703,-0.3862801664952247,-0.3074315698483776,1
1.4083165656674257,-0.3767764423983195,-0.6566844357663812,1
1.1647955850014036,-0.38596801075417564,-0.7297993122619099,1
1.8493674215435236,-0.5430711781605475,-1.144769182153679,1
1.5595079382068429,-0.4594341039656094,-0.9441710824880851,1
1.5473678572132763,-0.47100514802700905,-1.016054850016155,1
1.3620987486526583,-0.3935634722633593,-1.0338058416085993,1
1.184216100331011,-0.35969554648211494,-1.2849341359070259,1
0.819587078228752,-0.2566436604157245,-1.260849058852947,1
1.1223813936905152,-0.2843092505185354,-1.5002714603725933,1
0.5912133375655577,-0.2437296485793706,-1.0764439010895261,1
0.5794004833807328,-0.22992203700083153,-1.109640239219485,1
0.6619202724028395,-0.2493111727928745,-1.2099122761704089,1
0.4829294541054522,-0.22616442828658778,-0.9158029435400917,1
1.0100224698359015,-0.27239859809966016,-1.0609708108076024,1
0.6500943500689744,-0.24294737282484272,-1.070016344452532,1
1.0126656640477327,-0.2689298183065723,-1.0644688060358876,1
0.9632230001903813,-0.26000340478767603,-1.4098607447822586,1
1.498028200722608,-0.34909408573131034,-1.3505280377612179,1
1.935985207193624,-0.3640017690095611,-1.231970310791693,1
1.5044577250769549,-0.39043423526033444,-0.9157099680182192,1
1.4765729429431533,-0.37076670148341784,-0.7148670335936754,1
2.093005290269463,-0.41934767276176815,-0.6827105291876507,1
2.289365842844453,-0.491016351627137,-0.6705778274609117,1
1.8505785713311025,-0.4284948446607657,-0.5116074989366786,1
1.6683253073245108,-0.4090937871196483,-0.6910313612057387,1
1.5818547678764951,-0.38996004005932355,-0.9140338101276784,1
